City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
rikitea,PF,-23.1203,-134.9692,79.32,71,17,11.88,1613528677
qaanaaq,GL,77.484,-69.3632,-6.79,86,94,6.24,1613528677
anadyr,RU,64.75,177.4833,-13.36,86,0,6.53,1613528677
yellowknife,CA,62.456,-114.3525,-18.0,76,75,5.75,1613528678
hasaki,JP,35.7333,140.8333,54.0,37,40,18.41,1613528678
punta arenas,CL,-53.15,-70.9167,52.84,70,47,11.36,1613528651
bredasdorp,ZA,-34.5322,20.0403,60.8,88,21,4.61,1613528678
hithadhoo,MV,-0.6,73.0833,81.46,71,100,2.48,1613528678
luderitz,NA,-26.6481,15.1594,63.61,72,0,5.39,1613528590
xichang,CN,27.8964,102.2634,44.35,74,100,4.61,1613528678
portland,US,45.5234,-122.6762,45.0,75,75,6.91,1613528679
albany,US,42.6001,-73.9662,26.6,74,90,17.27,1613528679
mount isa,AU,-20.7333,139.5,86.0,58,40,16.11,1613528679
atuona,PF,-9.8,-139.0333,79.32,79,3,15.21,1613528679
barrow,US,71.2906,-156.7887,-14.8,76,40,9.22,1613528679
edea,CM,3.8,10.1333,80.6,100,75,0.51,1613528679
burnie,AU,-41.0667,145.9167,66.87,64,10,11.63,1613528679
nikolskoye,RU,59.7035,30.7861,10.4,79,75,8.95,1613528679
ambilobe,MG,-13.2,49.05,74.46,94,31,2.15,1613528538
busselton,AU,-33.65,115.3333,73.38,59,0,8.86,1613528679
bilibino,RU,68.0546,166.4372,-6.47,80,0,2.04,1613528680
hilo,US,19.7297,-155.09,78.8,61,90,11.5,1613527994
hermanus,ZA,-34.4187,19.2345,64.0,81,2,5.01,1613528680
montevideo,UY,-34.8335,-56.1674,68.0,94,75,4.61,1613528502
acapulco,MX,16.8634,-99.8901,75.2,73,75,8.05,1613528680
aklavik,CA,68.2191,-135.0107,-20.2,69,100,4.61,1613528680
komsomolskiy,UZ,40.4272,71.7189,35.6,60,0,9.22,1613528680
avarua,CK,-21.2078,-159.775,84.2,70,16,6.91,1613528680
buala,SB,-8.145,159.5921,84.6,74,85,2.26,1613528680
jamestown,US,42.097,-79.2353,16.0,92,90,8.05,1613528394
talnakh,RU,69.4865,88.3972,-17.75,81,100,2.28,1613528681
bara,NG,10.3744,10.7288,68.11,21,0,10.74,1613528681
rio gallegos,AR,-51.6226,-69.2181,57.2,51,0,5.75,1613528487
georgetown,MY,5.4112,100.3354,84.2,57,1,6.91,1613528549
ostrovnoy,RU,68.0531,39.5131,0.66,89,0,12.35,1613528681
ambon,ID,-3.6954,128.1814,91.4,55,40,10.36,1613528681
arraial do cabo,BR,-22.9661,-42.0278,76.17,89,0,5.46,1613528486
baiao,BR,-2.7906,-49.6717,72.77,99,100,2.24,1613528681
cape town,ZA,-33.9258,18.4232,65.25,73,0,2.77,1613528413
vokhtoga,RU,58.8147,41.0461,0.21,93,97,3.53,1613528681
vaini,TO,-21.2,-175.2,80.24,76,83,12.57,1613528682
nishihara,JP,26.1842,127.7558,57.2,72,75,28.77,1613528682
brae,GB,60.3964,-1.353,44.6,81,21,16.11,1613528682
sarkand,KZ,45.41,79.9186,37.92,66,26,5.73,1613528682
sovetskiy,RU,61.3614,63.5842,-14.73,89,88,3.53,1613528682
bluff,NZ,-46.6,168.3333,63.0,56,0,5.99,1613528682
castro,BR,-24.7911,-50.0119,61.84,93,4,4.7,1613528682
ushuaia,AR,-54.8,-68.3,49.41,82,97,1.28,1613528676
fairbanks,US,64.8378,-147.7164,10.99,95,100,1.21,1613528682
poum,NC,-20.2333,164.0167,81.59,79,28,6.71,1613528682
kapaa,US,22.0752,-159.319,75.2,83,90,8.05,1613528683
saint-philippe,RE,-21.3585,55.7679,80.1,63,100,3.58,1613528683
olafsvik,IS,64.8945,-23.7142,38.79,77,100,8.08,1613528683
kruisfontein,ZA,-34.0033,24.7314,54.68,87,0,5.1,1613528683
saskylakh,RU,71.9167,114.0833,-20.85,84,99,14.7,1613528683
aranos,NA,-24.1333,19.1167,69.28,24,20,5.08,1613528683
provideniya,RU,64.3833,-173.3,-0.4,65,0,26.84,1613528683
pevek,RU,69.7008,170.3133,-22.11,87,0,2.77,1613528683
inhambane,MZ,-23.865,35.3833,79.0,86,100,18.23,1613528683
hecun,CN,36.5333,114.1111,30.27,56,0,6.15,1613528683
mataura,NZ,-46.1927,168.8643,66.61,30,0,3.89,1613528684
san vicente,AR,-26.6167,-54.1333,63.7,76,0,3.02,1613528684
kodiak,US,57.79,-152.4072,39.2,87,90,16.11,1613528684
fortuna,US,40.5982,-124.1573,48.99,81,40,10.36,1613528684
esperance,AU,-33.8667,121.9,88.2,45,0,10.29,1613528684
dikson,RU,73.5069,80.5464,-22.94,87,99,12.08,1613528684
bambous virieux,MU,-20.3428,57.7575,78.01,100,75,4.61,1613528684
miandrivazo,MG,-19.5167,45.4667,75.69,83,100,2.93,1613528684
del rio,US,29.3627,-100.8968,27.81,95,100,14.45,1613528685
saint-pierre,RE,-21.3393,55.4781,78.8,73,75,3.44,1613528685
acarau,BR,-2.8856,-40.12,74.03,94,100,5.19,1613528685
yining,CN,29.0361,114.5636,58.05,52,0,1.34,1613528685
cidreira,BR,-30.1811,-50.2056,72.36,81,0,8.86,1613528685
cherskiy,RU,68.75,161.3,-20.09,86,0,0.47,1613528685
bengkulu,ID,-3.8004,102.2655,80.49,76,100,3.09,1613528680
soderhamn,SE,61.3037,17.0592,24.01,69,60,6.13,1613528685
mar del plata,AR,-38.0023,-57.5575,66.99,94,90,5.75,1613528685
angoche,MZ,-16.2325,39.9086,80.64,82,100,13.85,1613528685
nelson bay,AU,-32.7167,152.15,75.99,50,75,17.27,1613528686
namatanai,PG,-3.6667,152.4333,83.03,77,26,11.32,1613528686
klaksvik,FO,62.2266,-6.589,44.6,93,75,14.97,1613528686
beloha,MG,-25.1667,45.05,74.05,82,47,9.13,1613528686
srednekolymsk,RU,67.45,153.6833,-14.51,88,100,4.83,1613528686
okhotsk,RU,59.3833,143.3,-0.06,81,0,18.77,1613528686
port elizabeth,ZA,-33.918,25.5701,66.2,68,0,13.8,1613528686
port alfred,ZA,-33.5906,26.891,63.16,77,23,13.35,1613528686
kokopo,PG,-4.352,152.2633,84.25,72,100,13.73,1613528687
victoria,HK,22.2855,114.1577,67.21,64,2,12.62,1613528576
port-gentil,GA,-0.7193,8.7815,81.23,80,85,10.27,1613528687
cukai,MY,4.25,103.4167,78.8,78,20,3.44,1613528687
sarangani,PH,5.4033,125.4636,82.6,71,100,2.37,1613528687
kemin,KG,42.7846,75.6892,38.93,59,2,9.73,1613528687
puerto ayora,EC,-0.7393,-90.3518,80.01,85,71,5.14,1613528687
hami,CN,42.8,93.45,36.57,64,0,3.87,1613528688
barra patuca,HN,15.8,-84.2833,76.78,84,77,4.36,1613528688
sydney,AU,-33.8679,151.2073,75.2,57,75,14.97,1613528517
campeche,MX,19.0,-90.5,68.63,87,1,1.7,1613528541
aksarka,RU,66.5606,67.7975,-16.76,88,100,6.38,1613528689
kaitangata,NZ,-46.2817,169.8464,59.0,61,0,11.01,1613528690
ribeira grande,PT,38.5167,-28.7,58.98,75,54,20.58,1613528690
caninde de sao francisco,BR,-9.66,-37.7894,77.32,81,100,2.33,1613528691
chicama,PE,-7.8447,-79.1469,74.3,66,7,6.11,1613528691
glendive,US,47.1053,-104.7125,6.53,93,90,1.52,1613528692
quatre cocos,MU,-20.2078,57.7625,78.01,100,75,4.61,1613528692
henties bay,NA,-22.116,14.2845,62.01,89,0,3.0,1613528692
williamsburg,US,37.2707,-76.7075,48.2,57,1,13.8,1613528404
port hedland,AU,-20.3167,118.5667,91.4,55,18,3.44,1613528692
butaritari,KI,3.0707,172.7902,81.59,81,0,16.87,1613528693
maridi,SS,4.9158,29.4742,80.11,37,100,5.21,1613528693
barra do garcas,BR,-15.89,-52.2567,73.54,91,100,3.33,1613528439
rocha,UY,-34.4833,-54.3333,63.84,95,0,3.74,1613528693
kupang,ID,-10.1667,123.5833,82.4,83,75,11.5,1613528693
yulara,AU,-25.2406,130.9889,96.8,19,46,14.97,1613528693
longyearbyen,SJ,78.2186,15.6401,33.8,86,75,1.14,1613528693
khatanga,RU,71.9667,102.5,-19.93,82,100,8.43,1613528651
sabha,LY,27.0377,14.4283,39.04,78,0,7.07,1613528533
emboscada,PY,-25.15,-57.35,73.4,68,0,9.22,1613528693
wabana,CA,47.6332,-52.9481,25.0,93,90,11.5,1613528693
manokwari,ID,-0.8667,134.0833,83.28,72,60,5.97,1613528694
lukovetskiy,RU,64.2956,41.9211,-25.6,68,0,3.56,1613528694
milak,IN,28.6167,79.1833,56.23,42,0,2.93,1613528694
sambava,MG,-14.2667,50.1667,76.91,89,63,3.36,1613528694
saint anthony,US,45.0205,-93.218,5.0,65,1,3.0,1613528694
ejea de los caballeros,ES,42.1263,-1.1372,51.01,93,96,3.44,1613528694
tengzhou,CN,35.0771,117.1518,32.14,58,0,8.25,1613528694
alpena,US,45.0617,-83.4327,10.99,61,20,4.61,1613528694
kalmunai,LK,7.4167,81.8167,74.39,82,2,5.08,1613528694
xique-xique,BR,-10.8218,-42.7263,77.05,78,97,3.36,1613528695
mercedes,AR,-34.6515,-59.4307,61.86,70,1,6.69,1613528695
cayenne,GF,4.9333,-52.3333,77.0,83,0,5.75,1613528538
port blair,IN,11.6667,92.75,79.38,68,0,10.04,1613528695
shingu,JP,33.7333,135.9833,39.2,60,75,23.02,1613528695
thompson,CA,55.7435,-97.8558,-5.8,84,1,4.23,1613528695
lander,US,42.833,-108.7307,24.8,63,1,4.61,1613528695
tilichiki,RU,60.4667,166.1,0.07,92,29,8.01,1613528695
kavieng,PG,-2.5744,150.7967,83.82,73,74,12.3,1613528695
campos,BR,-21.75,-41.3,74.21,92,0,2.1,1613528616
flinders,AU,-34.5833,150.8552,73.4,56,75,12.66,1613528696
mount gambier,AU,-37.8333,140.7667,95.0,20,0,9.22,1613528696
husavik,IS,66.0449,-17.3389,36.52,93,100,6.85,1613528696
lensk,RU,60.7253,114.9278,-14.82,81,100,3.56,1613528696
wajir,KE,1.7471,40.0573,71.91,78,99,12.35,1613528484
nenjiang,CN,49.1833,125.2167,4.06,88,100,20.71,1613528696
broken hill,AU,-31.95,141.4333,88.79,25,53,14.85,1613528696
baoro,CF,5.6667,15.9667,72.88,18,95,11.5,1613528696
debre tabor,ET,11.85,38.0167,52.36,84,51,4.21,1613528696
rawson,AR,-43.3002,-65.1023,66.16,57,0,14.47,1613528449
te anau,NZ,-45.4167,167.7167,64.87,37,0,3.04,1613528697
hobart,AU,-42.8794,147.3294,80.01,41,20,12.66,1613528413
petropavlovsk-kamchatskiy,RU,53.0452,158.6483,32.0,69,75,22.37,1613528600
huarmey,PE,-10.0681,-78.1522,72.37,75,73,7.65,1613528697
chuy,UY,-33.6971,-53.4616,65.7,94,3,6.8,1613528697
souillac,MU,-20.5167,57.5167,75.2,100,75,4.61,1613528697
sabang,ID,5.8933,95.3214,82.36,73,22,19.1,1613528697
east london,ZA,-33.0153,27.9116,64.96,74,45,8.39,1613528697
norman wells,CA,65.282,-126.8329,-9.4,77,75,2.93,1613528698
tortoli,IT,39.9256,9.6572,44.6,65,0,9.22,1613528698
ixtapa,MX,20.7,-105.2,69.8,78,90,3.44,1613528698
seoul,KR,37.5683,126.9778,19.4,32,20,19.57,1613528681
pitimbu,BR,-7.4706,-34.8086,80.6,89,40,3.44,1613528698
talaya,RU,61.3833,152.75,-17.5,83,100,4.61,1613528698
sungaipenuh,ID,-2.0833,101.3833,73.09,81,49,0.87,1613528698
sao filipe,CV,14.8961,-24.4956,71.98,67,99,7.05,1613528698
cururupu,BR,-1.8283,-44.8683,73.98,97,89,2.82,1613528698
yauya,PE,-8.9833,-77.3,50.27,64,100,6.2,1613528698
upernavik,GL,72.7868,-56.1549,-4.92,90,99,2.75,1613528699
touros,BR,-5.1989,-35.4608,80.6,83,40,6.91,1613528699
parrita,CR,9.5201,-84.3225,73.4,64,20,6.91,1613528699
tuatapere,NZ,-46.1333,167.6833,62.06,44,0,5.64,1613528699
perth,AU,-31.9333,115.8333,78.01,69,75,5.75,1613528689
lompoc,US,34.6391,-120.4579,51.8,82,1,10.36,1613528699
rodrigues alves,BR,-7.738,-72.6509,73.89,95,100,1.66,1613528699
gizo,SB,-8.103,156.8419,85.24,73,64,9.78,1613528699
san miguel,SV,13.4833,-88.1833,74.28,78,32,1.32,1613528529
port keats,AU,-14.25,129.55,90.68,63,100,2.15,1613528699
sorong,ID,-0.8833,131.25,84.0,70,53,4.65,1613528699
pozo colorado,PY,-23.4923,-58.7972,78.73,51,9,6.51,1613528700
aguimes,ES,27.9054,-15.4461,66.99,55,0,10.36,1613528700
kedougou,SN,12.5579,-12.1743,78.15,17,46,4.18,1613528700
leh,IN,34.1667,77.5833,2.7,56,0,2.42,1613528700
marawi,PH,7.9986,124.2928,76.32,78,100,4.16,1613528700
andenes,NO,69.3143,16.1194,30.87,89,4,16.44,1613528700
san pedro,PH,14.35,121.0167,84.2,58,20,3.44,1613528700
dawson creek,CA,55.7666,-120.2362,-11.2,77,1,2.3,1613528700
krasnoselkup,RU,65.7,82.4667,-20.94,87,100,12.5,1613528701
benjamin hill,MX,30.1667,-111.1,57.45,50,93,10.65,1613528701
talara,PE,-4.5772,-81.2719,74.14,86,2,12.59,1613528701
haines junction,CA,60.7522,-137.5108,5.94,90,100,0.89,1613528701
tuktoyaktuk,CA,69.4541,-133.0374,-16.2,88,100,6.87,1613528701
mahebourg,MU,-20.4081,57.7,75.2,100,75,4.61,1613528701
sragen,ID,-7.4264,111.0222,81.05,81,99,4.25,1613528702
paragominas,BR,-2.9667,-47.4833,71.06,99,100,2.24,1613528702
mehamn,NO,71.0357,27.8492,16.45,88,58,9.08,1613528702
ambanja,MG,-13.6833,48.45,75.69,89,88,3.18,1613528702
namibe,AO,-15.1961,12.1522,72.75,75,82,4.76,1613528702
carnarvon,AU,-24.8667,113.6333,80.26,68,69,19.44,1613528702
tokur,RU,53.1333,132.9,-3.23,89,100,8.46,1613528702
vila velha,BR,-20.3297,-40.2925,75.2,94,75,4.61,1613528417
bethel,US,41.3712,-73.414,41.0,70,90,6.91,1613528517
whitehorse,CA,60.7161,-135.0538,0.0,71,75,14.97,1613528541
georgiyevka,KZ,43.0369,74.7114,42.24,53,0,5.44,1613528703
berdigestyakh,RU,62.0989,126.6992,-23.64,85,0,2.86,1613528703
vao,NC,-22.6667,167.4833,81.84,79,6,8.41,1613528703
krasnovishersk,RU,60.4078,57.082,-12.71,89,100,2.3,1613528703
rudnya,RU,54.947,31.0934,15.24,97,100,7.83,1613528703
tasiilaq,GL,65.6145,-37.6368,30.2,93,90,14.97,1613528703
murom,RU,55.5656,42.0417,-1.73,92,100,11.12,1613528704
torbay,CA,47.6666,-52.7314,26.01,93,90,11.5,1613528704
santiago,CL,-33.4569,-70.6483,64.62,63,0,4.16,1613528649
sinnamary,GF,5.3833,-52.95,75.31,81,4,11.36,1613528704
ca mau,VN,9.1769,105.15,79.12,63,41,12.91,1613528704
asau,RO,46.4333,26.4,21.99,53,6,5.32,1613528704
bonfim,BR,3.0833,-59.95,79.47,63,99,13.56,1613528705
belmonte,BR,-15.8631,-38.8828,78.8,78,20,6.91,1613528705
fairfield,US,41.2668,-73.3162,41.0,70,90,6.91,1613528705
iqaluit,CA,63.7506,-68.5145,-14.8,70,1,6.55,1613528451
lurgan,GB,54.4608,-6.3294,46.99,87,75,14.97,1613528705
campo alegre,BR,-9.7819,-36.3508,78.8,89,40,6.91,1613528705
faanui,PF,-16.4833,-151.75,82.45,65,0,8.14,1613528705
kutum,SD,14.2,24.6667,52.32,43,0,25.86,1613528705
louisville,US,38.2542,-85.7594,12.2,79,1,3.44,1613528452
gejiu,CN,23.306,103.1635,49.12,100,74,4.09,1613528705
qaqortoq,GL,60.7167,-46.0333,8.17,87,0,3.4,1613528706
cabo san lucas,MX,22.8909,-109.9124,63.52,77,5,16.2,1613528706
pokhara,NP,28.2333,83.9833,56.61,37,0,5.73,1613528706
sept-iles,CA,50.2001,-66.3821,15.26,95,100,16.46,1613528500
severo-kurilsk,RU,50.6789,156.125,31.69,94,80,17.74,1613528706
valverde del camino,ES,37.5751,-6.7543,51.01,72,100,1.01,1613528706
concepcion del oro,MX,24.6333,-101.4167,61.38,27,0,20.02,1613528706
tarauaca,BR,-8.1614,-70.7656,72.5,93,77,1.7,1613528706
san policarpo,PH,12.1791,125.5072,79.48,85,62,11.25,1613528707
merrill,US,45.1805,-89.6835,2.88,91,98,3.56,1613528707
san quintin,MX,30.4833,-115.95,57.51,82,41,16.46,1613528707
taunggyi,MM,20.7833,97.0333,64.9,42,0,0.2,1613528707
ponta do sol,PT,32.6667,-17.1,63.28,39,100,7.78,1613528707
new norfolk,AU,-42.7826,147.0587,80.37,27,0,4.16,1613528707
cockburn town,TC,21.4612,-71.1419,77.99,77,0,22.91,1613528707
mizdah,LY,31.4451,12.9801,39.94,72,0,3.53,1613528522
ancud,CL,-41.8697,-73.8203,52.9,85,1,5.66,1613528708
katsuura,JP,35.1333,140.3,55.0,36,25,11.01,1613528708
baykit,RU,61.67,96.37,-9.4,86,97,1.12,1613528708
port lincoln,AU,-34.7333,135.8667,86.85,27,0,9.6,1613528708
santiago del estero,AR,-27.7951,-64.2615,77.0,70,94,4.0,1613528482
hualmay,PE,-11.0964,-77.6139,72.55,75,80,6.96,1613528708
saint george,US,37.1041,-113.5841,51.01,40,90,12.66,1613528413
palana,RU,59.1167,159.9667,15.58,94,73,9.24,1613528708
ouallam,NE,14.3188,2.0866,75.52,17,24,17.45,1613528708
beringovskiy,RU,63.05,179.3167,-12.06,87,38,14.99,1613528709
itarema,BR,-2.9248,-39.9167,74.68,91,100,5.39,1613528709
capreol,CA,46.706,-80.9225,-2.92,90,0,4.81,1613528709
airai,TL,-8.9266,125.4092,71.74,75,100,4.36,1613528709
port shepstone,ZA,-30.7414,30.455,63.88,75,2,6.35,1613528709
roald,NO,62.5833,6.1333,37.81,74,100,13.58,1613528709
strezhevoy,RU,60.7333,77.5889,-20.2,76,0,4.47,1613528709
weymouth,US,42.2209,-70.9398,39.2,100,3,17.27,1613528709
chokurdakh,RU,70.6333,147.9167,-14.46,89,98,2.39,1613528710
lorengau,PG,-2.0226,147.2712,84.85,69,94,10.09,1613528710
maneadero,MX,31.7167,-116.5667,57.99,84,86,3.0,1613528710
tiksi,RU,71.6872,128.8694,-22.74,83,49,2.24,1613528710
nagornyy,RU,52.7959,83.5498,30.2,86,75,20.13,1613528710
mlawa,PL,53.1128,20.3841,21.34,98,100,6.17,1613528710
urucara,BR,-2.5364,-57.76,74.95,95,100,1.92,1613528710
nova vicosa,BR,-17.8919,-39.3719,78.08,84,100,11.41,1613528710
leo,BF,11.1,-2.1,79.97,38,56,3.38,1613528710
ara,IN,25.5667,84.6667,59.0,77,40,2.3,1613528530
betare oya,CM,5.6,14.0833,69.67,20,55,8.99,1613528711
tsaratanana,MG,-16.7833,47.65,72.61,86,100,1.45,1613528711
esna,EG,25.2934,32.554,47.82,52,100,14.34,1613528657
constitucion,CL,-35.3333,-72.4167,53.85,84,12,7.45,1613528711
scarborough,GB,54.2797,-0.4044,42.01,90,7,3.0,1613528711
necochea,AR,-38.5473,-58.7368,63.97,91,100,13.15,1613528711
limbang,MY,4.75,115.0,78.8,83,75,11.5,1613528711
bathsheba,BB,13.2167,-59.5167,78.8,61,40,17.27,1613528711
strelitsa,RU,51.6083,38.9102,-2.2,78,0,4.47,1613528711
acajutla,SV,13.5928,-89.8275,77.77,75,62,6.8,1613528711
oistins,BB,13.0667,-59.5333,76.59,75,10,20.18,1613528549
mlonggo,ID,-6.5333,110.7,79.7,83,100,3.49,1613528712
leningradskiy,RU,69.3833,178.4167,-18.11,87,50,3.71,1613528712
sevierville,US,35.8681,-83.5618,21.2,86,75,3.94,1613528712
san joaquin,US,37.9333,-121.3011,57.0,58,1,11.5,1613528712
coquimbo,CL,-29.9533,-71.3436,60.35,84,3,4.5,1613528712
