City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
verkhnevilyuysk,RU,63.4453,120.3167,-24.74,84,12,4.21,1613528712
baruun-urt,MN,46.6806,113.2792,-11.43,83,81,10.25,1613528712
solnechnyy,RU,50.7214,136.6319,5.36,89,100,21.0,1613528713
port moresby,PG,-9.4431,147.1797,84.18,73,100,15.23,1613528713
praya,CV,14.9215,-23.5087,68.0,77,100,6.91,1613528713
ilulissat,GL,69.2167,-51.1,-12.87,73,21,2.86,1613528713
porto walter,BR,-8.2686,-72.7439,73.65,96,100,2.17,1613528713
mollendo,PE,-17.0231,-72.0147,71.58,73,0,7.74,1613528713
dalmatovo,RU,56.26,62.9362,-16.37,86,0,9.22,1613528713
coihaique,CL,-45.5752,-72.0662,53.6,66,0,2.3,1613528713
lac du bonnet,CA,50.2536,-96.0612,-11.33,87,0,3.98,1613528713
tottori,JP,35.5,134.2333,33.8,60,40,23.02,1613528713
letlhakane,BW,-21.4167,25.5833,65.37,80,87,10.4,1613528714
verkh-usugli,RU,52.7,115.1667,-9.71,82,100,2.51,1613528714
margate,GB,51.3813,1.3862,46.99,80,91,1.99,1613528714
amudat,UG,1.95,34.95,65.05,58,100,2.3,1613528714
oranjemund,NA,-28.55,16.4333,62.83,75,0,4.88,1613528714
codrington,AU,-38.2667,141.9667,91.44,26,0,3.65,1613528714
bloemfontein,ZA,-29.1211,26.214,55.4,94,0,4.61,1613528715
narsaq,GL,60.9167,-46.05,15.8,48,75,3.44,1613528715
araouane,ML,18.9048,-3.5265,73.18,18,100,10.27,1613528715
richards bay,ZA,-28.783,32.0377,65.98,83,43,12.01,1613528715
aykhal,RU,66.0,111.5,-27.36,81,73,8.23,1613528715
comachuen,MX,19.6167,-101.9,42.64,62,0,1.45,1613528715
aberdeen,GB,57.1437,-2.0981,40.64,88,14,14.9,1613528715
batemans bay,AU,-35.7167,150.1833,73.99,66,55,3.0,1613528715
russell,US,32.3502,-85.1999,32.0,74,1,6.91,1613528715
lhokseumawe,ID,5.1801,97.1507,80.46,70,0,6.11,1613528553
purranque,CL,-40.9167,-73.1667,59.0,44,75,4.61,1613528715
verkhoyansk,RU,67.5447,133.385,-23.93,79,13,1.74,1613528716
nha trang,VN,12.25,109.1833,78.8,57,20,17.27,1613528714
mudgee,AU,-32.5943,149.5871,75.99,46,68,13.8,1613528716
shinshiro,JP,34.9,137.5,40.96,60,69,23.0,1613528716
praia,CV,14.9215,-23.5087,68.0,77,100,6.91,1613528716
neiafu,TO,-18.65,-173.9833,84.2,74,40,5.75,1613528716
ler,SS,8.3018,30.1418,80.87,20,48,4.36,1613528716
sibolga,ID,1.7427,98.7792,84.07,62,43,1.9,1613528716
banda aceh,ID,5.5577,95.3222,81.52,73,23,13.67,1613528717
honningsvag,NO,70.9821,25.9704,23.45,93,0,17.43,1613528717
ahipara,NZ,-35.1667,173.1667,74.66,55,19,9.33,1613528717
kayerkan,RU,69.3497,87.7602,-19.39,87,100,1.61,1613528717
lebu,CL,-37.6167,-73.65,53.8,83,0,9.06,1613528717
rengasdengklok,ID,-6.1592,107.2981,84.0,94,40,9.22,1613528717
jalu,LY,29.0331,21.5482,42.78,62,0,6.87,1613528717
tazovskiy,RU,67.4667,78.7,-17.79,88,99,11.07,1613528717
nabire,ID,-3.3667,135.4833,84.4,65,72,5.17,1613528717
kiama,AU,-34.6833,150.8667,73.4,56,75,12.66,1613528717
chara,RU,56.9064,118.2631,-14.44,74,65,0.2,1613528718
gweru,ZW,-19.45,29.8167,57.76,94,100,13.11,1613528718
carauari,BR,-4.8828,-66.8958,79.0,76,74,1.21,1613528718
inuvik,CA,68.3499,-133.7218,-20.2,69,100,4.61,1613528557
akonolinga,CM,3.7667,12.25,69.51,94,96,2.82,1613528590
grand gaube,MU,-20.0064,57.6608,80.56,81,68,4.32,1613528718
papetoai,PF,-17.4961,-149.8729,84.2,70,40,10.36,1613528718
clyde river,CA,70.4692,-68.5914,-23.8,69,18,3.44,1613528718
lasa,IT,46.6166,10.7002,37.74,67,100,3.11,1613528719
mocuba,MZ,-16.8392,36.9856,72.16,97,100,3.85,1613528719
fuerte olimpo,PY,-21.0415,-57.8738,73.31,93,71,3.47,1613528719
hambantota,LK,6.1241,81.1185,75.2,100,0,5.75,1613528719
la ronge,CA,55.1001,-105.2842,-9.4,77,100,2.68,1613528719
saldanha,ZA,-33.0117,17.9442,59.0,77,0,2.3,1613528719
ulladulla,AU,-35.35,150.4667,70.25,66,96,9.55,1613528719
tautira,PF,-17.7333,-149.15,81.21,69,40,8.5,1613528719
borgo san dalmazzo,IT,44.333,7.4858,35.01,86,17,4.61,1613528719
polunochnoye,RU,60.8697,60.4153,-15.36,88,100,2.59,1613528719
yebaishou,CN,41.3975,119.6408,10.9,58,0,24.38,1613528720
mumford,GH,5.2618,-0.759,80.71,84,100,12.1,1613528720
merzifon,TR,40.8733,35.4631,24.8,80,75,14.97,1613528720
saint-augustin,CA,51.226,-58.6502,9.05,93,100,4.07,1613528720
billings,US,45.7833,-108.5007,23.04,97,100,2.84,1613528700
alta floresta,BR,-9.8756,-56.0861,71.6,96,100,2.39,1613528720
samarai,PG,-10.6167,150.6667,78.82,84,100,10.33,1613528720
anito,PH,12.4497,125.2886,77.38,89,99,11.3,1613528720
karratha,AU,-20.7377,116.8463,86.25,60,100,7.0,1613528720
insar,RU,53.8653,44.3738,-12.77,88,39,8.21,1613528721
swan hill,AU,-35.3378,143.5544,89.91,28,69,8.25,1613528721
vanderhoof,CA,54.0166,-124.0198,21.24,95,17,3.89,1613528721
staroshcherbinovskaya,RU,46.6311,38.6742,20.77,88,30,10.8,1613528721
ishigaki,JP,24.3448,124.1572,64.4,77,75,26.46,1613528721
kalvarija,LT,54.4,23.2333,11.28,96,23,2.62,1613528721
wetaskiwin,CA,52.9668,-113.3687,-2.36,92,29,3.94,1613528721
caravelas,BR,-17.7125,-39.2481,78.28,83,100,8.81,1613528721
katherine,AU,-14.4667,132.2667,86.0,70,75,4.61,1613528722
aurora,US,39.7294,-104.8319,30.99,63,75,9.22,1613528518
isangel,VU,-19.55,169.2667,89.6,70,75,5.75,1613528722
acari,PE,-15.4311,-74.6158,73.65,65,4,1.28,1613528722
paita,PE,-5.0892,-81.1144,75.2,79,22,15.26,1613528722
myingyan,MM,21.4667,95.3833,57.2,67,0,1.14,1613528722
doctor arroyo,MX,23.6667,-100.1833,55.4,44,0,10.51,1613528722
tiznit,MA,29.5833,-9.5,54.82,39,0,6.26,1613528722
mula,ES,38.0409,-1.4901,50.0,77,100,5.01,1613528723
karabulak,RU,43.3036,44.8964,17.6,93,100,4.47,1613528723
urubicha,BO,-15.3833,-62.95,72.12,99,96,3.09,1613528533
dunedin,NZ,-45.8742,170.5036,59.31,50,0,5.26,1613528723
emerald,AU,-23.5333,148.1667,87.8,40,40,12.66,1613528723
malpe,IN,13.35,74.7167,73.4,94,40,5.32,1613528474
charters towers,AU,-20.1,146.2667,85.6,44,42,15.21,1613528723
the valley,AI,18.217,-63.0578,78.8,73,75,11.5,1613528723
zhigansk,RU,66.7697,123.3711,-18.11,87,100,14.47,1613528723
sao joao da barra,BR,-21.6403,-41.0511,76.12,91,0,10.13,1613528723
saint-louis,SN,16.3333,-15.0,81.79,15,100,10.4,1613528723
alofi,NU,-19.0595,-169.9187,86.0,66,75,8.05,1613528724
nantucket,US,41.2835,-70.0995,41.0,93,1,21.85,1613528445
makakilo city,US,21.3469,-158.0858,75.31,75,56,0.96,1613528724
khon kaen,TH,16.5,102.0833,78.8,43,14,7.49,1613528724
kahului,US,20.8947,-156.47,82.4,57,40,14.97,1613528724
nacala,MZ,-14.5428,40.6728,79.43,78,100,13.91,1613528724
kloulklubed,PW,7.0419,134.2556,80.6,89,90,10.36,1613528724
eureka,US,40.8021,-124.1637,48.99,86,23,8.01,1613528655
alice town,BS,25.7167,-79.3,77.49,80,0,9.6,1613528724
pemangkat,ID,1.1667,108.9667,80.33,72,30,8.43,1613528724
comodoro rivadavia,AR,-45.8667,-67.5,69.8,40,0,8.05,1613528725
victoria point,AU,-27.5833,153.3,80.01,75,81,10.0,1613528725
cap malheureux,MU,-19.9842,57.6142,78.01,85,100,3.0,1613528725
vostok,RU,46.4856,135.8833,12.0,96,100,10.56,1613528725
naranjito,EC,-2.2167,-79.4833,75.56,92,72,3.36,1613528725
beckley,US,37.7782,-81.1882,21.2,86,90,6.91,1613528725
tunceli,TR,39.1083,39.5471,42.84,80,100,3.91,1613528725
kuusamo,FI,65.9667,29.1833,-22.0,76,20,1.14,1613528725
xining,CN,36.6167,101.7667,28.83,73,100,1.72,1613528725
sokoto,NG,13.0609,5.239,71.28,22,1,19.6,1613528726
broome,US,42.2506,-75.833,14.68,94,94,11.16,1613528692
sciacca,IT,37.5082,13.0881,39.99,79,0,5.01,1613528726
kalianget,ID,-7.05,113.9333,83.03,78,78,10.07,1613528715
auki,SB,-8.7676,160.7034,84.09,77,100,2.93,1613528726
usinsk,RU,65.9939,57.5281,-32.73,83,87,4.72,1613528651
keti bandar,PK,24.1447,67.4497,68.29,80,0,7.99,1613528726
axim,GH,4.8699,-2.2405,79.81,84,97,7.16,1613528726
port hardy,CA,50.6996,-127.4199,42.8,81,75,5.75,1613528726
klyuchi,RU,52.2667,79.1667,19.24,97,100,8.95,1613528727
goderich,CA,43.7501,-81.7165,19.4,63,100,13.8,1613528703
tomatlan,MX,19.9333,-105.25,62.11,81,0,3.04,1613528727
kuminskiy,RU,58.6667,66.5667,-13.18,89,80,6.71,1613528727
nizwa,OM,22.9333,57.5333,56.55,66,0,1.28,1613528727
sorland,NO,67.667,12.6934,31.8,89,0,16.69,1613528727
tessalit,ML,20.1986,1.0114,66.83,26,24,25.57,1613528727
puerto ayacucho,VE,5.6639,-67.6236,83.34,50,95,12.03,1613528727
roebourne,AU,-20.7833,117.1333,86.52,57,85,6.6,1613528727
puerto rico,AR,-26.796,-55.024,68.18,70,0,1.7,1613528728
kadoma,JP,34.7333,135.5833,41.0,33,75,10.36,1613528728
juneau,US,58.3019,-134.4197,28.4,86,90,8.05,1613528547
peachtree city,US,33.3968,-84.5958,28.4,68,1,9.22,1613528521
beauceville,CA,46.2179,-70.7787,21.2,86,100,2.3,1613528710
zhangye,CN,38.9342,100.4517,36.91,62,56,2.59,1613528728
ola,RU,59.5833,151.2833,3.83,84,0,11.52,1613528728
tual,ID,-5.6667,132.75,83.55,78,99,16.08,1613528728
medea,DZ,36.2642,2.7539,37.4,93,20,2.3,1613528728
zhezkazgan,KZ,47.8043,67.7144,28.4,93,90,8.95,1613528729
half moon bay,US,37.4636,-122.4286,50.5,77,30,16.84,1613528713
horta,PT,38.5333,-28.6333,57.88,77,59,20.29,1613528729
issia,CI,6.4922,-6.5856,75.06,94,100,1.92,1613528595
limbazi,LV,57.5129,24.7194,3.38,94,0,6.96,1613528729
ipameri,BR,-17.7219,-48.1597,68.74,89,27,1.45,1613528729
manta,EC,-0.95,-80.7333,78.8,78,40,11.5,1613528729
kristiinankaupunki,FI,62.2743,21.376,6.19,94,0,5.39,1613528729
sotnikovo,RU,51.8845,107.4791,-2.78,87,94,4.99,1613528729
chalons-en-champagne,FR,48.9539,4.3672,46.4,93,40,9.22,1613528730
rawah,IQ,34.4816,41.9093,58.91,51,0,21.41,1613528730
santa maria,BR,-29.6842,-53.8069,65.97,79,0,4.81,1613528730
pochutla,MX,15.7432,-96.4661,73.99,74,0,3.87,1613528730
abu samrah,SY,35.3029,37.1841,43.57,76,97,22.12,1613528730
tulsipur,NP,28.131,82.2973,57.24,41,0,5.01,1613528730
sao jose da coroa grande,BR,-8.8978,-35.1478,79.02,82,100,11.65,1613528730
benguela,AO,-12.5763,13.4055,75.16,81,66,3.42,1613528730
bria,CF,6.5423,21.9863,71.35,31,70,5.19,1613528730
mathbaria,BD,22.2876,89.9593,70.43,55,0,3.76,1613528731
santa rosa,PH,14.3122,121.1114,84.2,58,20,3.44,1613528731
corinto,GR,37.9407,22.9573,33.8,64,40,4.61,1613528731
amga,RU,60.8953,131.9608,-20.63,84,39,1.72,1613528731
sur,OM,22.5667,59.5289,69.58,54,0,6.46,1613528731
russkaya polyana,UA,49.417,31.9201,-1.59,91,9,5.06,1613528731
bandarbeyla,SO,9.4942,50.8122,73.85,73,14,8.72,1613528731
karwar,IN,14.8,74.1333,71.51,84,26,8.12,1613528731
ust-tsilma,RU,65.441,52.1498,-29.85,84,79,2.89,1613528731
metro,ID,-5.1131,105.3067,75.52,94,100,4.92,1613528731
adrar,MR,20.5022,-10.0711,66.15,26,100,11.65,1613528732
yar-sale,RU,66.8333,70.8333,-17.77,87,90,12.5,1613528732
antofagasta,CL,-23.65,-70.4,64.4,77,0,5.75,1613528732
port hawkesbury,CA,45.6169,-61.3485,41.4,98,99,10.0,1613528732
ovalle,CL,-30.5983,-71.2003,57.38,81,0,2.37,1613528732
riyadh,SA,24.6877,46.7219,66.2,26,0,6.91,1613528546
sitka,US,57.0531,-135.33,35.6,93,90,5.75,1613528549
pacific grove,US,36.6177,-121.9166,53.6,71,1,10.36,1613528732
diffa,NE,13.3154,12.6113,64.96,26,0,13.42,1613528732
indianola,US,41.3581,-93.5574,1.4,55,1,4.07,1613528732
monrovia,LR,6.3005,-10.7969,79.34,86,98,7.16,1613528733
shakawe,BW,-18.3667,21.85,67.26,78,100,5.23,1613528733
alugan,PH,12.2188,125.4808,79.09,87,85,12.5,1613528733
arman,RU,59.7,150.1667,3.16,84,12,10.87,1613528733
playa vicente,MX,17.8333,-95.8167,64.53,92,23,3.09,1613528733
missoula,US,47.0166,-113.8009,19.8,98,100,4.18,1613528706
lata,PT,40.1629,-8.3327,55.99,94,98,2.62,1613528733
akhmeta,GE,42.0311,45.2075,33.8,93,90,11.5,1613528734
sereflikochisar,TR,38.9393,33.5386,18.28,95,100,19.44,1613528734
harper,LR,4.375,-7.7169,78.91,85,100,5.75,1613528735
dustlik,UZ,40.5247,68.0358,51.51,42,0,10.8,1613528735
manali,IN,13.1667,80.2667,71.6,88,40,3.4,1613528469
andes,CO,5.6561,-75.8788,64.13,83,100,2.91,1613528735
leninsk,RU,48.7119,45.1994,8.6,72,0,8.95,1613528522
coruripe,BR,-10.1256,-36.1756,79.07,79,100,15.26,1613528675
kumano,JP,34.3442,132.5894,35.6,64,75,17.27,1613528735
tezu,IN,27.9167,96.1667,68.04,37,89,0.47,1613528735
cuamba,MZ,-14.8031,36.5372,69.39,94,100,2.21,1613528531
lagoa,PT,39.05,-27.9833,58.05,78,58,23.33,1613528735
dnestrovsc,MD,46.6222,29.9133,8.6,85,0,4.47,1613528736
neuquen,AR,-38.9516,-68.0591,73.4,49,0,6.91,1613528736
saryagash,KZ,41.4511,69.1701,44.6,39,0,4.61,1613528736
waddan,LY,29.1614,16.139,41.74,85,0,5.95,1613528736
laibin,CN,23.7,109.2667,61.21,60,8,13.35,1613528736
de aar,ZA,-30.6497,24.0123,55.24,63,0,11.1,1613528736
ajdabiya,LY,30.7554,20.2263,49.78,64,31,6.4,1613528736
neftcala,AZ,39.3742,49.2472,41.94,82,100,27.38,1613528736
najran,SA,17.4924,44.1277,62.04,31,62,1.39,1613528737
mackay,AU,-21.15,149.2,84.2,65,75,17.27,1613528737
krutinka,RU,56.0055,71.5113,-12.15,89,5,11.41,1613528532
beyneu,KZ,45.3167,55.2,39.51,91,100,11.79,1613528737
hofn,IS,64.2539,-15.2082,40.66,82,100,15.48,1613528737
valparaiso,CL,-33.0393,-71.6273,60.8,77,0,3.44,1613528737
west wendover,US,40.7391,-114.0733,37.4,41,20,25.32,1613528737
waingapu,ID,-9.6567,120.2641,84.51,69,100,7.2,1613528737
olinda,BR,-8.0089,-34.8553,80.6,65,20,6.91,1613528618
sola,VU,-13.8833,167.55,82.9,77,100,9.89,1613528738
ilam,NP,26.9167,87.9167,59.0,88,75,1.14,1613528738
tutoia,BR,-2.7619,-42.2744,74.1,97,100,2.53,1613528738
gayny,RU,60.3071,54.3241,-7.4,91,100,2.86,1613528738
xinmin,CN,41.9908,122.8253,8.6,40,0,8.95,1613528738
havre-saint-pierre,CA,50.2334,-63.5986,10.4,85,90,17.27,1613528738
pontianak,ID,-0.0333,109.3333,81.97,66,0,4.74,1613528738
poddorye,RU,57.4695,31.1156,2.03,94,100,5.59,1613528738
camacha,PT,33.0833,-16.3333,60.8,94,20,5.75,1613528739
verkhnyaya inta,RU,65.9811,60.3094,-33.23,83,98,4.9,1613528739
fort myers beach,US,26.452,-81.9481,66.88,69,37,11.88,1613528566
batavia,US,41.85,-88.3126,4.71,94,19,5.5,1613528739
shangrao,CN,28.4532,117.9686,57.13,73,22,0.92,1613528739
surt,LY,31.2089,16.5887,53.85,60,98,10.89,1613528739
imbituba,BR,-28.24,-48.6703,71.6,88,0,5.75,1613528485
dingzhou,CN,38.5131,114.9956,30.2,27,0,8.95,1613528739
sao miguel do araguaia,BR,-13.275,-50.1628,72.32,92,100,3.13,1613528739
vanimo,PG,-2.6741,141.3028,85.03,71,100,3.58,1613528740
quelimane,MZ,-17.8786,36.8883,71.91,96,100,9.84,1613528740
robertsport,LR,6.7533,-11.3686,79.75,86,95,9.8,1613528740
kichera,RU,55.9375,110.0997,-1.07,87,100,1.39,1613528740
santa cruz,BO,-17.8,-63.1667,72.46,91,100,3.89,1613528740
coahuayana,MX,18.7333,-103.6833,63.52,83,0,2.08,1613528740
banepa,NP,27.6298,85.5214,49.78,49,0,2.68,1613528740
cornelius,US,35.4868,-80.8601,37.0,63,54,1.01,1613528740
orange cove,US,36.6244,-119.3137,55.0,54,1,9.22,1613528740
thunder bay,CA,48.4001,-89.3168,1.99,60,1,5.75,1613528463
polovinnoye,RU,54.7914,65.9864,-15.65,87,53,9.24,1613528741
trelew,AR,-43.249,-65.3051,67.28,50,0,13.24,1613528491
wuwei,CN,37.9281,102.6414,38.68,53,98,2.13,1613528741
pacasmayo,PE,-7.4006,-79.5714,74.35,69,0,14.67,1613528741
iquique,CL,-20.2208,-70.1431,69.8,60,0,16.11,1613528638
magdagachi,RU,53.45,125.8,-5.39,88,97,7.47,1613528741
dingle,PH,10.9995,122.6711,81.32,76,100,11.97,1613528741
champerico,GT,14.3,-91.9167,69.01,90,2,7.27,1613528741
keningau,MY,5.3378,116.1602,82.4,78,20,5.75,1613528597
guerrero negro,MX,27.9769,-114.0611,58.53,73,61,15.59,1613528741
pisco,PE,-13.7,-76.2167,73.4,73,0,5.75,1613528742
jardim,BR,-21.4803,-56.1381,70.54,97,38,2.44,1613528741
lenoir,US,35.2335,-77.6497,49.14,65,0,7.92,1613528742
baijiantan,CN,45.6333,85.1833,14.95,94,9,2.57,1613528523
san juan,AR,-31.5375,-68.5364,79.45,44,30,6.78,1613528742
rudnogorsk,RU,57.2639,103.7519,18.39,98,100,5.7,1613528742
nandyal,IN,15.4833,78.4833,65.86,67,0,4.74,1613528742
muhos,FI,64.808,25.9931,-9.4,84,0,3.44,1613528742
nuqui,CO,5.7125,-77.2708,78.22,85,94,5.91,1613528742
kharan,PK,28.5833,65.4167,50.05,36,0,1.05,1613528742
vardo,NO,70.3705,31.1107,21.16,93,99,18.05,1613528742
mananara,MG,-16.1667,49.7667,75.67,89,76,3.49,1613528743
pangoa,PE,-12.1167,-73.0,68.18,96,100,1.63,1613528743
buraydah,SA,26.326,43.975,68.0,37,0,8.05,1613528532
ostrow wielkopolski,PL,51.655,17.8069,35.01,78,100,6.67,1613528743
boca do acre,BR,-8.7522,-67.3978,75.58,96,100,0.16,1613528743
bonthe,SL,7.5264,-12.505,78.33,87,16,4.45,1613528743
abha,SA,18.2164,42.5053,62.6,29,0,4.16,1613528743
borogontsy,RU,62.6683,131.1683,-22.41,85,19,2.01,1613528743
huancavelica,PE,-12.7667,-74.9833,37.44,80,100,2.46,1613528547
sault sainte marie,CA,46.5168,-84.3333,15.8,85,90,3.13,1613528479
luena,AO,-11.7833,19.9167,64.15,78,100,3.06,1613528744
qasigiannguit,GL,68.8193,-51.1922,3.2,60,90,8.05,1613528744
plainview,US,40.7765,-73.4673,33.21,88,0,15.64,1613528744
odweyne,SO,9.4092,45.064,58.82,76,57,5.01,1613528744
keetmanshoop,NA,-26.5833,18.1333,72.68,21,0,4.43,1613528744
